,ID,ROADID,lat,lon
6211,45285,V34,25.08330347061625,121.44128371793795
6212,45286,V34,25.08325721469625,121.44125256431187
6213,45287,V34,25.0832879999698,121.441273370211
6214,45288,V34,25.08327261991612,121.4412629834098
6215,45289,V34,25.083590932590408,121.44148819611912
6216,45290,V34,25.083668858166014,121.44153846072383
6217,45297,F01,24.998621052098354,121.50603593164513
6218,45305,K86,24.98132259376284,121.4653622588254
6219,45307,K86,24.98080487489048,121.46525646365656
6220,45308,K86,24.98171281473809,121.46544006032828
6221,45330,T18,25.00506053505192,121.48904952321782
6222,45331,T18,25.005072195175448,121.48910246526803
6223,45338,P49,25.073790760437866,121.49446006052679
6224,45344,J07,25.07915789200603,121.3766098423979
6225,45345,J07,25.07911735628972,121.37657038834101
6226,45348,T31,24.981218449996682,121.5438763507926
6227,45364,L23,25.01007904451401,121.41883513380785
6228,45368,T63,25.002534011081533,121.48809273205704
6229,45412,T82,24.989932375917068,121.53541695505785
6230,45417,T82,24.990603329998496,121.5353679113614
6231,45418,T82,24.990377615148002,121.53536068859846
6232,45419,T82,24.990422724758535,121.53536203546422
6233,45420,T82,24.99046784533897,121.5353633324415
6234,45421,T82,24.99051292246173,121.53536447671128
6235,45422,T82,24.99055796744641,121.535365702531
6236,45424,T82,24.989976617784247,121.53540650381173
6237,45425,T82,24.990020660879022,121.53539615213812
6238,45426,T82,24.990064862523326,121.53538570291576
6239,45427,T82,24.99010941352184,121.53537612599656
6240,45428,T82,24.99015444047264,121.5353684353201
6241,45429,T82,24.990648425109647,121.535370966672
6242,45468,L23,25.011276370915645,121.42039540426201
6243,45469,L23,25.011256087009677,121.42034566655217
6244,45470,L22,25.010254521949417,121.41637461885792
6245,45491,J08,25.087142205570732,121.37955175760479
6246,45492,J08,25.087100009466578,121.37952528803423
6247,45495,J08,25.087371410188705,121.37969421468328
6248,45499,J08,25.087324401007987,121.37966462171312
6249,45500,J08,25.087186364052616,121.37957926755709
6250,45504,K92,25.009828232266212,121.45123850479266
6251,45505,K92,25.00987237038849,121.45122965981304
6252,45511,K92,25.009894335344782,121.45122529475864
6253,45517,KA1,24.9958005961535,121.46063326067244
6254,45562,P05,25.08747773113069,121.48368423167993
6255,45574,K80,24.994703295889344,121.46389512088919
6256,45575,K80,24.994664473528747,121.46392203201941
6257,45576,KA1,24.995106581754783,121.46222203400735
6258,45577,KA1,24.995195176383284,121.46220260567812
6259,45590,P10,25.086074101981445,121.46138426739891
6260,45591,R17,25.046475590160494,121.45973001098312
6261,45592,R17,25.04634445657506,121.45972957158035
6262,45595,R17,25.04675577562176,121.45972917495656
6263,45599,KA1,24.995283692814013,121.46218311304216
6264,45600,R17,25.047848631738983,121.45972386711954
6265,45601,R17,25.047730416056265,121.45972431711655
6266,45602,R17,25.0466393260024,121.45972968113328
6267,45603,R17,25.047348707285,121.45972766098534
6268,45604,R17,25.047296792988337,121.45972779255254
6269,45605,R17,25.04711711774631,121.45972850991319
6270,45606,R17,25.047518125296012,121.45972572766745
6271,45608,R17,25.049151126955067,121.45970736952276
6272,45614,R17,25.04884173944257,121.45970931897759
6273,45619,J07,25.072674051244807,121.3699247980818
6274,45620,J07,25.072711305542608,121.36996820693741
6275,45621,J07,25.079076787775417,121.37653101897608
6276,45622,J07,25.072963058324444,121.36993823608287
6277,45637,R17,25.04877409700793,121.4597084620708
6278,45638,R17,25.048687903535303,121.45970832676929
6279,45639,R17,25.04858253620381,121.45970618473774
6280,45640,R17,25.049312645026824,121.45971111317108
6281,45641,R17,25.049242482910646,121.45971080193188
6282,45642,R17,25.048263122032555,121.45972183072969
6283,45644,R17,25.05068097498656,121.45970506753058
6284,45645,R17,25.05075904201171,121.45970502866793
6285,45646,R17,25.050841758528446,121.45970326300043
6286,45647,R17,25.050995871843103,121.45970365522386
6287,45648,R17,25.05123880311611,121.45970199122604
6288,45653,L23,25.01129961420009,121.41977433373701
6289,45654,T14,24.994126847510103,121.52125074032963
6290,45655,J07,25.07307380798348,121.37006877015295
6291,45656,J07,25.07300003907369,121.36998169501965
6292,45657,J07,25.07318455752341,121.37019930445767
6293,45668,R17,25.051131351504914,121.45970270116419
6294,45669,R17,25.05165800235745,121.45969901458072
6295,45671,R17,25.051778385136924,121.45969817888096
6296,45672,R17,25.051585358243393,121.45970010988421
6297,45673,R17,25.051842674829842,121.45969901204631
6298,45674,R17,25.05196766102072,121.45969884016279
6299,45675,T67,25.00480885714305,121.47186718378416
